,ID,Tweet,Sentiment,predictions
107,264237713539084288,not only is home from china shes in lai called her and screamed mandyyyyyyyyyyyyyim gonna hug her for 2 hrs tomorrow,2,0
112,253377445430968320,my great grandpa was gonna march with dr king but he said nah man why march when i can finger these white bitches instead,0,2
115,261392854620991488,did romneys dad march with drking yes or no,1,0
122,263952346617376768,pretty little liars is not back until the 8th of january im devastated,0,1
123,264241026498179072,i like how each friday the announcers hype how alabama can be beat and each monday state how alabama is still number one,2,1
135,264242920398413824,but some of ya need to calm down there just snippets and besides we get to hear them on itunes on monday so its not really a big deal,1,0
138,262557924709265409,cheers 4 the ticket ed 4 wednesday steve looks a bit like ricky gervais fucker,0,1
139,264096017467711488,ill be in london within zayns birthday the 12th of january meet you there hahaaha dreams and imagination of mine,2,1
144,264234360113348608,on the jersey shore emotion outweighs cost of rebuilding bay head njboston reuters the people of the jersey shore may feel,1,0
151,264253864616808448,i hope anderson starts tomorrows game he did very against chelsea,2,1
153,254366850903842817,the fiesta bowl and i was surprised to see they were ranked 6th in the polls cuse dont get alot of love in football land,0,2
154,264202522598719488,itll prolly sound like the 1st pluto which was ok i wonder if he gone have kanye on it,1,0
159,260223534608044033,we all know that ike taylor got the 3rd top player of the game for his swaggin prowess only,0,1
161,263873145658814464,twothirds of the ncaa football season are completed the race for the bcs title game is heading to a huge controversy,0,2
162,263391500438761472,is demba ba sunderlands 2nd top scorer i believe he is,2,1
168,264185341668364288,5 dont mention the score do we want revenge no wenger ahead of the united game on saturday,0,1
171,263965294383472640,off to anfield on sunday for lfc vs newcastle with,2,1
176,252414863400398848,plagiarism sopas gonna get you on october 3,0,2
180,264144616725573633,hahaaa well if u wanna take me to brazil i aint gonn say no how about viva brazil tho next friday night bit cheaper xxx,1,0
186,262741756003635200,maybe ksrc needs a wrasslin recap then once mentioned we may have things about the bachelor,1,0
194,263865863504027648,can mike brown play golf he may need to hit up the stanford womens team w ty willingham after this start honestly,1,2
195,257248283259449345,please join and myself this tuesday 830 pm as we discuss hib special guest moderator glad to have you,2,1
206,253702800117215232,you got a sweet shout out at a jon huntsman jr speech in st louis monday night well done,2,1
209,263786871241465857,why is jay cutler good in the 4th qtr and not others good question espn could be worse though he could be tony romo,1,2
217,262789538294935553,that way the orange bowl would always be a part of me i think it was a wise choice shit is it thursday yet game time,2,1
218,264228141336256512,love my new i mean my ipod touch5th generationdoes everything but make phone calls and has no gps abilityi dont need those options,2,0
219,263838207165218816,in other related news you know theres no parks tomorrow,0,1
220,264222435249901568,gold edges down ahead of us jobs data singapore reuters gold edged lower on friday with investors waiting,0,2
223,264155821238259713,ahhh girls if i was not going to dubai on wed i would take u ladies hope u can come visit me in land of sand x,1,0
228,264256835165507584,but tonight when i went to see madonna at the scottrade when i walked in i started crying because i thought about last saturday,0,2
230,263513151205695488,sikeapril fools never say never but this is the exception turns on pretty little liars,1,0
235,264239999535423488,so we probably wont hang that long okay i wanna see you before you leave china d oh are you going tomorrow,1,0
237,262804310981738496,wow what a weekend flying lotus zombie apocalypse writing patriots dog beachgoodnight everyone monday morning screw you,2,0
243,259518582331940865,were going to be in the rose parade tomorrow with the other obedience club dogs lizzie will be wearing roses,2,1
246,264046914213916672,kirks bike shop support the businesses you love and shop small this november 24th,1,2
247,263517106207870976,chris bosh may not be easy on the eyes but he has a freakin beautiful family,2,0
248,264104267852419074,bu grads are the 7th most employable in us after harvard yale stanford mit columbia and princeton,2,1
253,264175237548097536,tomorrow night upstate andersonsc models bottles plus 100 cash to the sexiest lady in black,1,2
255,264255912032731136,ill try to take some more pics tomorrow i lost mi phone during the service and all i got right now is that pic i sent you,1,0
256,251426446743044096,an alarm on my phone still goes off every thursday for a jon huntsman for president national finance team call probably time to delete it,0,1
264,260187105895010304,well geaux tigers and yes it is and then three days after that isnov 6 which means election day,1,2
266,264238050891165696,oh ill be 19 in february where do you live i live in florida d,1,2
270,263848226443112448,looking fowrard to kaman returning this saturday when mavs face the bobcats,2,1
284,264050864761745409,could have used him against hou ran ball vs indy bad def against pats he won 1st miami let it go lol,1,0
285,264192994222170112,madonna is in concert tonight in st louis all the women are dressing like 80s whores some of them may even go to the concert,0,2
287,262655345749532672,i googled coffee its immediate response mechanisms the first page that appeared september 11 attacks wiki i dont see the link here,0,1
289,246663760150941696,as a liberal dude i would have seriously considered voting for jon huntsman i may be wrong but he seems like a reasonable guy,1,0
296,262542008629989377,i want a sunday kind of love etta james,1,2
300,262293273136230400,been awhilesat back taking stockthink we missing a fox in the box has anyone else clocked what jordan rhodes is doing 12,1,0
303,264256736926498817,im seeing you november 12 aka in the hood make me your ollg and ill pay you in chicken nuggets,1,2
305,263463276883632128,monday night raw is on on monday nights from 7pm10pm the 3rd season of teen mom 2 is on a new night mondays at 9pm oh the dilemma,0,2
306,264214933732990976,yeah she been there for like 3 years n she gettin stationed back in georgia in june i think,1,0
307,235360182165700610,join us in the av dept on weds aug 15 at 7pm to watch the free moviejoyful noise for all agesunder age 8 needs adult,2,1
308,263960738626945024,u guys talk about eli in the 4th qt big ben isnt to shabby either and steelers fans arent complaining trust me,2,0
309,255230950575861760,off to watch el classico now may even rewatch the first 18mins of yesterday nufc too,1,0
310,252784868306595841,lets just go protest tomorrow spread to our pirate brothers we did it with sopa lets tey it again,2,0
315,263958814259281920,forget the ricky gervais animation showthis is the animation vid to watch may have something to do with us,2,1
318,264250140066471936,i better see you at jasons on friday or saturday,1,2
321,264247597349367808,one more source cmon google just one more,0,1
324,263824968792563712,comedy central kicks off in singapore in the early hours of friday and who better to lead the charge than mr stewart,1,2
327,261898214008045569,fuck it i havent done nothing in like 2 months maybe i will see if my mom will watch aaliyah tomorrow so i can do something,1,0
329,264247816992481280,so its official monday is my first day no more matt for a long while except on tuesdays or wednesdays,0,1
330,257873485626486784,fact jk rowling harry potter and actor daniel radcliffe all share the same birthday july 31,1,2
332,263894561544368129,oh and red tails for the 1st time yeah yeah kinda orta late af but it was good,2,0
335,261611475070767105,thursday night line uppppp henny coke chipotle vampire diaries greys anatomy scandal fuckkkkk with me sonnn,0,1
350,264229410746535936,stats are stats records can be broke but crunch time 4th quarter jordan had niggaz scared to d up bronkd kobe cant say the same,0,1
352,263565119970213888,barclays profit driven by investment banking londonbarclays plc bcs wednesday continued to reap the rewards,2,1
354,264218213578047488,tv fundraiser 4 sandy friday night during katrina telethon kanye said bush was killing black peopledoubt well hear opposite about obama,0,1
359,254592764719816706,i aint asking for much just listen to atleast the 1st 3 songs give me some feedbackdreamteam full mixtape,2,1
360,264243803924361216,my itunes is playing sun is shining by bob marley my ears cant trick me its bloody freezing hat scarf and gloves today kids,0,2
366,263955452868567040,going to sunderland vs villa on saturday dont hold the highest hopes for a good match,0,2
371,263417802084470784,yeaaah tomorrow i can download the mew pretty little liars again,2,1
376,264249354431393792,1st using the pacersnever even practiced with em,0,1
386,254598359229292545,my idol is tuning 15 on monday shes growing up so fast i remember when she was that girl on wizards of waverly place,2,1
388,263153416350605312,i have to go out drinking on a wednesday so i cant watch the bachelor until the next day,0,2
389,264228665993347072,i think that i want to make it spread so that you may not be inconvenienced i wish matt becomes fine,2,0
393,264198269897428992,free dress day tomorrow well lsu or alabama shirt with jeans,1,2
402,263990119969738752,well the sun is finally coming up so its time to slap some bacon on a biscuit and get to work laters patriots,2,0
403,262779527531466752,highlight of that game was the bottom of the 10th some guy chillin with a john 316 sign behind home sup bro,2,1
404,263347653054709760,watching contraband for the 3rd time mark wahlberg is the man,2,1
416,264173401441181696,going to some like it hot in newcastle on saturday for a dance off,1,2
418,264133044196229120,i didnt want new york to miss my madonna show get ready for monday its gonna be on wnbc aw how nice,2,0
419,263464598026457088,lbj out with cramps steps on chalmers cs ball offensive foul 10089 heat ball 757 left in the 4th,1,0
421,263873051869982721,im talking all types of shit nowcause the celtics may be 01 but the lakers 02 lmaooooooooo,1,0
427,262304741139300354,we say we have problems but putting life in to perspective we have such fortunate lives you may be martin luther king,2,0
433,263873462869839872,yep mavs started 04 before racking up 67 wins in 0607 of course they also flamed out in the 1st round against golden state,0,2
440,264181493448990720,buy my new album comming out called fuck you procrastination 3 ft drake trey songz nwc meek rick ross drops in wshh november 19 cop it,2,1
441,263595721100521472,truedude hasnt gotten it in his 4th season and still plays the same cant be like alex smith who just got it together lol,0,2
445,258011182265421825,tina fey and amy poehler will host the 70th golden globe awards in january and for once i may care about an awards show,2,1
448,249783698789130240,watching laugh at my pain with on this cool saturday night,1,2
453,262685476228571137,have the privilege to ride dod sponsored float in january 1 rose parade in pasadena california,2,1
455,264245079038894082,spotify is all matt and kim station eh may we suggest david guetta no you may not,0,2
457,262002962526765056,i cant hire the honey badger to mow my lawn nowbut sounds like he may be better suited to be a weed eater,1,0
459,259370598499753984,a final sign that youre growing is that you find time to watch 30 rock on netflix on friday at 2pm,1,2
464,245174224908591104,cmon u want to kidrauhl follow ur amazing account so lets trend,2,0
467,264137842765225984,its good some abc and cbs outlets are reporting benghazi but part of reason is probably so they can claim but we reported it 11th hr,2,0
472,263967759807950850,tim tebow has already had more success than over 95 of qbs who have ever been in the nfl and this is his 3rd season killed,2,0
483,264202099531845633,i know we went to dinner and brett made sure he got his thursday chicken fingers though,1,0
484,261906283865714688,tomorrow is awareness day help us change the perception so many people have about this wonderful breed,2,1
485,264226263533768704,is heading to toms river nj and manhatten please consider donating to the cause they feed 1st responders and communities,2,1
486,264161239209496576,ive got 1st unit bk rostu maggette cv31 gmonroe 2nd unit bynum daye tay jerebko drummond i hope jr watchez the pistons stickz w em sum,1,2
491,262771666155868160,betting on the honey badger will tyrann mathieu make it to the nfl this aug 2 2012 file photo shows lsu cor,2,1
494,263188653528997889,big brother may be watching you right now and you may never know is the new normal,0,1
495,262861404577599488,morning twitterites goal by 5pm friday want to see msm report on benghazi and obama below 42 in polls hammer it home patriots,2,1
509,262366728506441728,touchdown 210 at the beginning of the 2nd quarter is kinda ridiculous haha oh well roll tide,2,0
521,261519616621297668,got to show my rubbishy physics presentation tomorrow the only good bit is daniel radcliffe singing the elements song,1,2
525,258310881061003265,im delighted that tina fey and amy poehler are hosting the golden globes how am i supposed to wait until january 13,1,2
531,264242315089039360,2nd night going to sleep with this girl on skype lol 3,1,2
532,263283429225938944,a hot cup of coffee on a cold morning some nice country music to go gets me everytime 80 3rd in the bcs,2,0
538,264036157426393088,tv ratings cbs and fox split a lowrated wednesday on a night impacted by both halloween and the aftereffects,0,1
539,264235264560488448,bears suffer a 21 loss at sdsu tonight next up no 45 ucla on sunday in los angeles,0,1
544,262595751618703360,even if i knew that tomorrow the world go to pieces i would still plant my apple tree martin luther king,1,2
545,264207245716365312,the good news parks opening sat am the bad news the destruction,1,2
551,264248936204759040,people may hate on jersey shore but honestly i love it,2,0
553,257085597175406592,special notice for lefties who try to watch the best show on tv justified 2nd try melts tv,0,2
554,255035435238187008,el classico on a sunday night isnt perfect for the monday morning,0,2
555,263485556984541184,why cant seans season of the bachelor just start monday,2,1
560,263958196455084032,in case you didnt spot it greys anatomy is back next wednesday at 10 on living,0,1
565,258925765800886272,this is only the 4th time wearing my concords,0,1
566,264221970395181058,bold prediction cowboys will beat the falcons sunday night,2,1
567,264247604139937792,who the hell moshes at matt and kim next time watch out for my face mofos my cheekbones better not be purple tomorrow,0,2
568,263673210170658816,its if you want an mp3 of keep your foot on the devils neck be one of the 1st 10 people to respond i do,2,1
580,264087699688927232,haha itll be alright we got swansea on saturday tho away hahaha just like we talked,2,0
585,254397504693620736,steve jobs and dr king on the same level nah cmon kanye,0,1
587,264121320751640576,from brazil it has some differences we may have the same words for some things but the pronunciation is way different,1,0
590,263512687844147200,tom horne was a lying bastard when he said he marched with mlk hes a lying bastard as arizona ag thats why i love him xo jan brewer,1,0
592,264135707403112448,tmills is going to tucson but the 29th and its on a thursday,0,1
595,263263863166889984,quiz time coming up answers on the osfc physics page only 1st correct answer wins a kitkat chucky u must be studying physix at oldham,1,0
600,263696585093951489,white collar returns on tuesday january 22 at 109ccant wait to see it,2,1
604,264207334111334400,at some point tomorrow morningafternoon the will can the winter classic and effectively the entire season is it march madness yet,0,1
611,264253932262522881,aha yea it still closed and the truck is still filling im in my moms car because were leaving for dc tomorrow and we need gas,1,0
612,260503666870591488,sugar bowl then we might play riverside playin st aug peabody op walker man district goin be the easy part,2,1
616,239484954533318656,hear lost interview of mlk jr a tennessee man finds a long lost interview with mar,1,0
617,260599030818684928,contraband with the boys so eager to finally watch it,2,0
620,264182927850602496,rasheed wallace said hes ready to play 30 minutes if needed in tomorrows home opener at msg against the heat,2,1
626,264246731397533696,attending with our chapter on sunday please bring items for the charity event check s fb for more info,2,1
627,264098161382019072,if you watch any given sunday backwards its like tim tebows career,0,1
628,253764290975264768,jordan rhodes was not jeered last night like this bellend in the sun is reporting,0,1
630,264212282937069568,what would derek fisher bring to the la lakers the lakers may soon be creating a new position for free age,2,0
646,257098888337571840,such a foolish thought santorum and palin would start a primary challenge in march depends on congress some but eo first day,0,1
650,264102463991345152,3 days to convince some one to come to lana del rey with me in may lol,1,2
652,263476988973572096,world peace has no talent i have no reason why we let go of lamar odom in the first place best 6th man weve had in a while,0,2
653,264223853188894720,every day at school saturday sunday morning for local teams saturday afternoon going to watch chelsea,1,2
655,258669717525504000,hearing ksu talk about wvu like this gets me so heated i want us to go orange bowl on them this sat,0,1
657,263636635986583552,significant development monday night 49ers qb alex smith and wr michael crabtree were on the same page,2,1
658,252799431701839872,its time to call in the cbbmonday is going down,0,1
662,264204158398242817,i get in around noon and im coming to pca all day friday,1,2
663,264245519990272000,wait its friday on the east coast why isnt little things on itunes,1,0
670,264109136311107585,the election at united car wash continues through next tuesday as you will recall united car wash at 1575 madison road,1,0
671,264092223044468736,sorry red id normally love to but i cant ill be locked in the office saturday and sunday except for the pacers game,0,2
676,264206494621388800,isnt it still due tomorrow ah dude im like rewriting my drake song lmao and changing words on it,2,0
679,264137381555367937,monster jam tonight and celtics home opener tomorrowloveeee living walking distance from the gahhhhden,2,1
684,264251544894062592,we may or may not be skyping with drake right nowhahahahaha,2,0
687,264114501299892226,are you going to maths tomorrow morningg xx,1,2
689,259994436824600576,live sunderland v newcastle it may not have the glamour of el clasico or the title implications of the manches,0,1
693,263285585697988608,come hang out with our wonderful pcas and learn about networking in the job search tomorrow form 2330 in the student union see you there,2,1
696,257609732402073601,clearly rws fault super stoked for mondays radio programming and the shit storm about how matt flynn doesnt fumble that ball,2,0
697,250542884758114304,the fiesta bowl was pleasantly surprised monday to learn it is one of six finalists to hos,2,1
698,228967441475186688,a blast from the past daisy mays should have received a golden globe for this one lol,2,0
700,264197732137312256,my bro and i today since we both finally ate chicken for the 1st time in a year today lmao,1,2
703,257259375033466881,a white guy just quoted mlk jr on stage at a conservative conference liberals may now tantrum it up,0,1
711,250245653710655488,beliebers have about 40 more tweets than justin you may think were tweeting random shit but theres lots to tweet about kidrauhl,1,0
715,264184014003396608,when youre accustomed to the 5th grade antiintellectualism of fox and conservative radio it must be jarring,0,1
716,264004135928602624,mavs couldnt withstand the 3rd quarter by the jazz maybe a little fatigue from a back to back,0,1
726,264227590670258176,los angeles nov 2 ians actress keira knightley says although she does not like some traits of her character a,0,1
727,264115177904037888,in the sports world report steelers cant find hotel to travel sun the pittsburgh steelers will fly to new y,0,1
728,263493396558123009,i think those aau teams may have had more talent than some of those wizards teams he coached,2,1
729,262984662278877185,wanna remind the twittosphere to add and get a copy of nappy d before the big of napoleon dynamite on sunday the 4th,1,2
737,264030128504451073,can u imagine the front 3 of suarez on the right sterling on the left klaasjan through the middle o that wud be d,2,0
739,264244991788990465,your xbox controller broke whats wrong with it tell us morewe may be able to be of assistance lb,1,0
740,264240225855881217,donaire in the race for fighter of the year award wont be surprised if he nails it first he must beat jorge arce in houston on dec 15,1,2
749,249883820726288385,i miss sunday nights with and mob wives,1,0
751,263758857342418944,over again is the 2nd ed song on tmh a ballad where harry niall liam zayn and louis sound most comfortable via,2,1
766,264036639314153473,8am in uk then 4am here in the philippines but the same date nov32012,1,0
769,264220109420249091,in the los angeles area on nov 30th december 1st 2012 this is a red carpet event that you do not want to miss,2,1
773,264232298961059841,aw thanks sam i miss you too much tomorrow you better text me i have a lot to tell ya,2,0
775,262767229047824384,john 316 meaning 3rd and 16th letters are c and p for child porn and the guys name is john hes recruiting at the game,0,1
780,264132911064817664,urban wants braxton to train with tim tebow in the off season i say yes may not be a good qb but the dude is smart works hard,2,0
783,264097358520922112,why wont nbc cbs abc and cnn cover the breaking news in the benghazi story information came out last tuesday,0,1
785,264202468903239682,you and matt and alex no school thurs or fri,2,1
787,261802542600708096,emile heskey causing a newcastle stir check out 1st his overhead kick and 2nd the heskey cam,1,2
795,264249515090010112,thats what the hot texas sun does to your legs,1,0
798,258754663950716929,oh goodness rick santorum will be in town tomorrow to kick off early voting north carolina a gentle reminder youre better than this,0,2
799,255776738473279490,cbb may just starve till she gets in,1,0
800,264057542739636225,yes it is a song partly about hillsborough my point is it was aimed towards suarez on sunday,1,2
808,262179782953938944,i feel like a kid waiting for christmas when it comes to bike parts i want please kenda release your honey badger soon,1,0
809,263444646116618240,lol i have to decide between going on a date saturday or lsu vs bama gamehahahaha this is easy geaux tigers,2,1
810,263431660673056768,when is uva just gonna cancel classes for tomorrow already jesus,0,1
815,263822544753270784,cmon big ben youll never get another ring if you keep throwing pick sixes all the time,0,1
816,264221447415812096,im moving to california on the 16th,1,0
817,264237542306623490,maos cult may have no place in chinas future as tension increased on the border with india in the early 1960,0,1
826,229266031124807680,hahahaha busted i just met hib today hahaha ok on monday kiter buke together gether d free labour included tak oo,1,2
827,264111125593993216,check it out report steelers cant find hotel to travel sun,0,1
831,263870986217222144,the blazers aint shit tho lmao wait for the hawks game tomorrow,1,0
832,264249402720411648,did you buy or rent will discuss on skype all this sat,2,1
835,251488187673886720,get the concords in december get my camaro into an accident with a brand new civic and get a ticket on top of it,0,1
837,263986136005873665,for throwback thursday elvis and the beatlestwo huge icons which do you like better discuss,1,2
838,263859563260948480,dwight howard is dominating this game 29 pts 9 rebs with 15 minutes left in the game 3 mins in 3rd whole 4th qtr,2,1
839,264194986394914817,i still dont understand the joke behind motor boatinill ask tom tomorrow morning winkwink,0,1
841,244753354704699392,track down one gary ablett and check the go with the lovely lauren dont fail me lol i may need to frock up for the brownlow,1,0
842,262981248568410113,demba ba injury not so serious so he should be fit for liverpool this sunday lets hope he scans ok thats the main thing,0,1
843,264246661931491328,on monday im going to eat so much you might as well call me jordan and ally im so fucking hungry,1,0
844,264069315555373056,some analysts are beliving that tony romo will have a win against the falcons sunday nightyeah ok,2,1
845,262307355969060864,whoever is sat next to me tomorrow beware if we score you may get raped like when tim howard scored,0,1
847,257127426717536256,we declare heaven is invading nlc for october 31 outreach father as it is n heaven we say so it is n r outreach sick will be healed,2,0
853,263476266559209473,i havent screamed that loud at the tv since sun when the pats kicked it across the pond,1,0
854,264210202600022016,serious talk if you and tyler do a dayz thing i can hook you up with a server skype ocdsupertoaster 3 cell dinner 1st,2,1
855,263804013814882304,the series finale date of gossip girl will be december 17 they say dont cry because its over smile because it h,2,1
856,263649224531509248,call us superstitiousour condo does not have a 13th floor some wiki thoughts on the origin of that tradition,0,1
858,263945907442155520,my 2nd home after new england was california70 average temperature quiet nice it is here but 6 mos eskimolol,2,0
859,258898806312157184,chris jerichos have just announced the voodoos eazy tiger as support for their show at on sat nov 30th,2,1
860,257299477109542912,14th of the way through 30 rock season 6 im on my way,1,2
870,264210165719527424,i rememeber i was an 8th grader in a while were about to be jrs wow,1,0
871,264253207029616641,a neverending gold rush in china china the largest producer of gold may also become the biggest consumer of,2,1
874,264247040920403968,i wonder how it feels to make every girl in the 8th grade cryjordan how does it feel,1,0
875,264080683373309953,winter classic 2013 wont be canceled thursday the nhl will not be canceling the 2013 winter classic on thursda,1,0
878,235387256700018690,only one full day left to look after pat pipa will land bristol 0055 thurs morning home by 0200 hrs,1,0
880,253870624244641793,i want marks thots comparingcontrasting romney from last nite 2 what may have been santorum this from santorum supporter,1,0
883,264245686315409408,got time for a skype tonighttomorrow want a pre game chat last day in before vacation is saturday,1,0
884,262535208950190080,the run worked for 3 plays great and that drive in the 3rd when tob took it out of glennons hands in the rz tob being tob,2,0
888,245752586601377792,red tails for the 1st time,2,1
889,259786957180256256,the man who won the sugar bowl may have just won the backyard brawl,1,2
892,264076589166370819,all new teen mom 2 this monday i really wanna see it,2,0
893,260197662756859905,well have to have a defensive stand at the beginning of the 3rd but lord knows ike taylor will get beat deep,0,2
900,264223835564429314,yes i just watched it it comes in abc and yes i think it would be new episodes come on abc at 900 every thursday,1,2
902,264095052190609408,sometimes you have to look at your life and your choices and yes for the 10th time i will be telling my hairstylist i want the zayn malik,1,2
903,263331978772901888,lsu needs to do one thing to beat bama run and stop the run win it in the 4th quarter geaux tigers,1,2
906,264213366468382720,tomorrow is the justin bieber consert in louisville kentucky i hope i the ollg,1,2
907,257277446414548992,matt flynn may possibly not be as good as peyton manning is but he was the second decision for the miami dolphins u,1,2
908,255388503544840193,come support the showmovement at parkdale high school on oct 26th frm 811 w aja dreamteam hqb dsbhib leave the bullshit at the door,2,1
912,256613090441961472,chandler him were going to trade concords cool greys but i was going to tell dashon to not bring them tomorrow,0,1
913,264207636759732224,jason will prove himself again tomorrow when he sells out stadiums in more record times,2,1
914,259730435100254208,oh ive got tim howard tomorrow as well how many points you get today,1,0
915,263467424689565697,youve seen the honey badger video now get the pizza sundried to pic,1,0
917,263946244416745472,monday is going to be so strange when i go back to school to get my gcse stuff,1,0
919,259462951117930496,i have to be up by 630 tomorrow for the rose parade thingy the band is playing in it i dont even like marching,0,1
926,262923419190968320,jim brown praises trent richardson rookie running back trent richardson did more than win sundays game for the br,2,1
929,264201848381124608,the sit down with peyton was gr8he opens up alot tune in sunday on the nfl today on cbs,2,1
931,240012265280118784,absolutely both gigs the su casa beach tent is on from 12 noon7 on saturday if you come to that youll see rose parade,1,2
934,247981489059397632,lil mouse and the buffoons that support his foolishness set the black race back 400 years dr king didnt march for that foolishness,0,1
935,260112956296155137,cant wait to go meet the cast of being human on tuesday be jealous bitches,2,0
944,255034739881279488,el classico a few minutes of louis walsh crying about something then homeland not a bad sunday nights viewing,2,0
945,248584562341474304,black dude just set civil rights movement back 300 yrs drking is rolling in grave wishing hed called in sick 4 that march in dc,1,0
946,263592546125639680,kirk is true that your a twisted sexuall killer from the 4th dimension,0,1
947,263306331597971456,reminder for pca students smalls groups will be packing up the operation christmas child shoe boxes tomorrow so bring in your stuff,1,2
952,264259420748398593,november 2nd google doodle honoring the birthday of the nobel prize awarded greek poet odysseas elytis morning tweeps,1,2
953,258842221841899520,beingsalmankhan is wearing being human t shirt in po po song of which is very special thing he is doing it 4 1st time on screen,2,1
963,263354037360005120,during those 33 years iowas winning percentage among teams from the bcs leagues plus strong independents ranks 24th 29th on the whole,1,2
969,261981114237857792,midnight phone call from filling me in about his mad antics tonight may as well start calling him muhammad ali from now on,1,0
970,242835136150904832,looks like im gonna be watching kevin hart laugh at my pain for like the 20th time lol,1,2
972,263625400301780992,geaux tigers ill be in death valley saturday night for the game of the century iii,2,1
975,263457975363072000,you a pats fan yet after seeing the best in the business on sunday,1,2
979,264161447653806080,hey youre missing beauty and the beast vampire diaries greys anatomy right now on tv saturday is merlin,1,0
980,261798557361766400,emile heskey scores two goals for the newcastle jets in win over the victory herald sun via,1,2
981,264251714322960384,breaking i just learned on to is two words its like 230am and i have a stomachache skype tomorrow goodnight lovely,0,2
982,250981762363166721,best attitude for living my pain may be the reason for somebodys laugh but my laugh must never be the reason for somebodys pain,2,1
983,264216855667953664,apple filed its annual 10k report with the sec for fy2012 on wednesday showing just how much the company has grown,2,1
984,261176558448939009,praying wednesday can beat manager less rovers hoping jordan rhodes forgets he put 4 past us last season,1,2
987,264218281945214976,manchester united can return to the top of the english premier league on saturday should they defeat ar,2,1
989,263953930982158336,get ur excuses in early lol cant see us beating west ham on sat not now that howard webb is on loan to the hammers for the game,0,2
990,264236694272884736,you know you are desperate of answer when you see the 2nd page of google,0,1
992,261630517638737920,starting the 2nd season of being human lol that was quick,2,1
995,264248193297027072,welp i made it to dallas even the speed limits are bigger in texas oo tomorrow sat sun interviews keep an eye out,2,1
1002,261613229401337856,former lsu qb jordan jefferson was arrested w the honey badger daddy miles cant save you this time and let you start on saturday,0,1
